OID_;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
203188;08230323111500921900;08;1;11;000;2023;03;17;5;3;5;3;0;0;1;1;0;0;0;0;513382,685300000011921;5402521,424300000071526;9,182150215000036;48,775551768000071;1
203189;08230323111120923870;08;1;11;000;2023;03;15;5;3;6;4;0;0;0;1;1;0;0;0;513965,214900000020862;5403438,951799999922514;9,190110083000036;48,783792962000064;1
203192;08230322417200896390;08;4;17;002;2023;03;07;4;3;5;7;0;0;1;1;0;0;0;0;489493,681099999696016;5346103,847100000828505;8,858421138000040;48,268055336000032;1
203195;08230322415400916990;08;4;15;061;2023;03;11;4;3;5;3;0;0;1;1;0;0;0;0;515066,343299999833107;5374910,940600000321865;9,204061382000077;48,527126434000081;1
203196;08230322337010892740;08;3;37;032;2023;03;07;4;3;0;6;0;0;1;0;0;0;0;1;436706,055800000205636;5272366,961200000718236;8,157964020000065;47,601620036000043;1
203198;08230322327100868560;08;3;27;050;2023;03;20;4;3;0;7;2;0;1;0;0;0;0;0;483913,690000000409782;5312090,817999999970198;8,784511281000050;47,961924916000044;1
203200;08230322311500868810;08;3;15;113;2023;03;11;4;3;0;1;0;0;1;0;0;0;0;0;441360,268400000408292;5306627,455399999395013;8,215254308000056;47,910290264000025;1
203203;08230322311010867650;08;3;36;050;2023;03;13;4;3;8;1;0;0;1;0;0;0;0;0;401555,015200000256300;5277267,055999999865890;7,689331495000033;47,641313375000038;1
203205;08230322231202887600;08;2;36;071;2023;03;15;4;3;0;7;0;0;1;1;0;0;0;0;468652,825199999846518;5421525,252299999818206;8,571886707000033;48,945856539000033;1
203208;08230322222500869150;08;2;22;000;2023;03;20;4;3;4;2;2;0;1;1;0;0;0;0;463187,162700000219047;5478603,119500000029802;8,492012218000070;49,458967888000075;1
203211;08230322221200873880;08;2;21;000;2023;03;12;4;3;0;7;0;0;1;0;0;0;0;0;475294,225700000301003;5472680,164599999785423;8,659445188000063;49,406305303000067;1
203212;08230322216100869560;08;2;16;009;2023;03;17;4;3;2;6;0;0;1;0;0;0;0;0;447371,677000000141561;5420872,098200000822544;8,281350176000046;48,938536661000057;1
203213;08230322212010866840;08;2;12;000;2023;03;08;4;3;5;3;0;0;1;1;0;0;0;0;455948,481900000013411;5423716,522700000554323;8,398152985000024;48,964793026000052;1
203215;08230322121200901030;08;1;21;000;2023;03;14;4;2;3;6;0;0;1;0;0;0;1;0;516601,088299999944866;5442916,072799999266863;9,227602462000050;49,138848847000077;1
203216;08230322118000902800;08;1;18;019;2023;03;17;4;2;6;4;0;0;0;1;1;0;0;0;506232,140200000256300;5405414,153500000014901;9,084869004000041;48,801687301000072;1
203217;08230322118000891340;08;1;18;048;2023;03;18;4;2;6;4;1;0;0;1;1;0;0;0;513980,814100000075996;5416470,528200000524521;9,190767142000027;48,901022247000071;1
203218;08230322117100868480;08;1;17;019;2023;03;12;4;3;6;4;0;0;0;1;1;0;0;0;552081,701200000010431;5394411,981399999931455;9,707826750000038;48,700568645000033;1
203219;08230322116500916930;08;1;16;081;2023;03;08;4;3;2;6;0;0;1;1;0;0;0;0;515399,872100000269711;5385735,919500000774860;9,208979710000051;48,624502254000049;1
203220;08230322116400868820;08;1;16;053;2023;03;07;4;3;5;3;0;0;1;1;0;0;0;0;538391,128999999724329;5388143,968000000342727;9,521189869000068;48,645175964000032;1
203221;08230322116010895660;08;1;16;080;2023;03;22;4;3;2;6;2;0;1;1;0;0;0;0;519981,723000000230968;5396439,518999999389052;9,271672995000074;48,720662548000064;1
203223;08230322115100896250;08;1;15;003;2023;03;07;4;3;5;2;0;0;1;1;0;0;0;0;500828,764000000432134;5391498,182000000029802;9,011258086000055;48,676529557000038;1
203224;08230322111500922790;08;1;11;000;2023;03;16;4;3;0;7;0;0;1;0;0;0;0;0;507869,616999999620020;5397671,431399999186397;9,107019943000068;48,732015458000035;1
203225;08230321437100866240;08;4;37;100;2023;03;15;3;2;0;7;0;0;1;0;0;0;0;0;537891,103699999861419;5317822,241900000721216;9,508078388000058;48,012570327000049;1
203226;08230321436200867910;08;4;36;064;2023;03;17;3;3;5;3;0;0;1;1;0;0;0;0;545918,777800000272691;5293067,266799999400973;9,613079564000031;47,789327653000043;1
203227;08230321436200865470;08;4;36;064;2023;03;08;3;3;5;3;0;0;1;0;0;0;0;0;545661,085599999874830;5290689,765399999916553;9,609389200000066;47,767955535000056;1
203230;08230321421300866330;08;4;25;138;2023;03;13;3;2;0;1;0;0;1;0;0;0;0;0;572259,976999999955297;5349449,234999999403954;9,974246519000076;48,294113516000039;1
203231;08230321421200883850;08;4;21;000;2023;03;13;3;2;0;1;0;0;1;0;0;0;0;0;572017,052099999971688;5361985,668800000101328;9,973116711000046;48,406910691000064;1
203232;08230321421200883710;08;4;21;000;2023;03;19;3;3;4;2;2;0;1;1;0;0;0;0;573542,634200000204146;5361526,782199999317527;9,993647242000065;48,402606744000082;1
203235;08230321335200913750;08;3;35;063;2023;03;15;3;3;1;5;0;0;1;0;0;0;0;1;498094,566100000403821;5288034,729399999603629;8,974581128000068;47,745681573000070;1
203237;08230321326400914230;08;3;26;074;2023;03;07;3;3;6;4;1;0;0;0;1;0;0;1;458755,405000000260770;5324440,280999999493361;8,446319339000070;48,071903178000071;1
203239;08230321326300892460;08;3;26;031;2023;03;08;3;3;6;4;0;0;0;1;1;0;0;0;459709,130499999970198;5331158,016100000590086;8,458487456000057;48,132401096000081;1
203240;08230321317100864850;08;3;17;089;2023;03;15;3;2;0;1;0;0;1;0;0;0;0;0;431712,653199999593198;5376575,768400000408292;8,074890285000038;48,538567769000053;1
203241;08230321311300867850;08;3;11;000;2023;03;14;3;3;3;2;0;0;1;1;0;0;0;0;413688,946999999694526;5315789,490000000223517;7,843170490000034;47,989579490000040;1
203243;08230321222014871530;08;2;22;000;2023;03;16;3;3;5;5;0;0;1;1;0;1;0;0;462955,933199999853969;5479027,861099999397993;8,488781826000036;49,462774185000058;1
203244;08230321216200908430;08;2;16;007;2023;03;07;3;3;5;2;0;0;1;1;0;0;0;0;435854,525000000372529;5393602,588999999687076;8,128361777000066;48,692164270000035;1
203246;08230321215402899240;08;2;15;009;2023;03;17;3;2;2;6;0;0;1;0;0;0;0;0;468117,188199999742210;5442948,208200000226498;8,562886010000057;49,138534845000038;1
203248;08230321212010871090;08;2;12;000;2023;03;17;3;3;6;7;0;0;0;1;1;0;0;0;455907,566700000315905;5428823,820499999448657;8,397039939000024;49,010730954000053;1
203249;08230321212010867720;08;2;15;097;2023;03;18;3;3;5;2;1;0;1;1;0;0;0;0;475907,733900000341237;5443785,872500000521541;8,669642303000046;49,146424782000054;1
203250;08230321212010867620;08;2;12;000;2023;03;16;3;3;0;2;0;0;1;1;0;0;0;0;453625,315899999812245;5430615,125099999830127;8,365627576000065;49,026676502000043;1
203251;08230321127100898130;08;1;27;076;2023;03;16;3;3;6;7;0;0;0;1;1;0;0;0;552129,169499999843538;5440461,811300000175834;9,714352358000042;49,114785988000051;1
203252;08230321121400897880;08;1;25;061;2023;03;17;3;3;5;3;0;0;1;1;0;0;0;0;503713,209800000302494;5446811,632999999448657;9,050944576000063;49,174103944000080;1
203254;08230321118010910030;08;1;18;048;2023;03;15;3;3;0;7;0;0;1;1;0;0;0;0;514978,553199999965727;5415626,111400000751019;9,204350162000026;48,893402786000081;1
203257;08230321116400897800;08;1;16;033;2023;03;12;3;3;4;6;0;0;1;1;0;0;0;0;532915,268500000238419;5388547,868899999186397;9,446885400000042;48,649121789000048;1
203258;08230321111500921720;08;1;11;000;2023;03;14;3;3;5;7;0;0;1;1;0;0;0;0;509407,555200000293553;5397522,026300000026822;9,127931104000027;48,730650085000036;1
203261;08230320435100877930;08;4;35;024;2023;03;16;2;3;5;3;0;0;1;1;0;0;0;0;526309,681400000117719;5279862,931500000879169;9,350479799000027;47,671622167000066;1
203264;08230320336200885150;08;3;36;069;2023;03;18;2;3;0;3;0;0;1;1;0;0;0;0;408151,253999999724329;5268685,025900000706315;7,778928729000029;47,565081050000060;1
203265;08230320317500864870;08;3;17;096;2023;03;16;2;3;9;1;0;0;1;0;0;0;0;0;422958,616000000387430;5369496,448999999091029;7,957622775000061;48,473876063000034;1
203266;08230320317300879050;08;3;17;065;2023;03;16;2;3;5;3;0;0;1;0;0;1;0;0;415483,865100000053644;5354141,817999999970198;7,859600770000043;48,334804532000078;1
203268;08230320316200896760;08;3;16;056;2023;03;17;2;3;0;7;0;1;1;0;0;0;1;0;421502,458499999716878;5326615,025800000876188;7,945891118000077;48,087968574000058;1
203269;08230320311010908340;08;3;11;000;2023;03;07;2;2;6;7;0;0;0;0;1;0;0;1;417519,745199999772012;5315191,315400000661612;7,894619577000071;47,984704155000031;1
203270;08230320231000861480;08;2;31;000;2023;03;13;2;2;3;6;0;0;0;1;1;0;0;0;477235,951500000432134;5415504,824899999424815;8,689441600000066;48,892074607000040;1
203272;08230320222500880680;08;2;22;000;2023;03;13;2;2;5;3;0;0;1;1;0;0;0;0;465462,463200000114739;5476339,146999999880791;8,523605737000025;49,438737987000081;1
203274;08230320221011861770;08;2;21;000;2023;03;16;2;3;5;3;0;0;1;1;0;0;0;0;475559,890999999828637;5469933,048000000417233;8,663276119000045;49,381606144000045;1
203278;08230320212102862350;08;2;12;000;2023;03;12;2;3;6;7;0;0;0;1;1;0;0;0;463183,926699999719858;5428336,077800000086427;8,496583321000060;49,006820627000081;1
203280;08230320126100861730;08;1;26;039;2023;03;10;2;3;6;6;0;0;0;1;1;0;0;0;547545,469999999739230;5461079,553999999538064;9,653985561000070;49,300608091000072;1
203282;08230320121200893020;08;1;21;000;2023;03;16;2;3;5;3;0;0;1;1;0;0;0;0;515746,951999999582767;5445080,175000000745058;9,215976861000058;49,158338128000025;1
203284;08230320118400862520;08;1;18;048;2023;03;07;2;3;3;7;0;0;1;0;0;0;0;1;512543,245000000111759;5417675,399299999698997;9,171188737000023;48,911891712000056;1
203287;08230320116010875450;08;1;16;049;2023;03;15;2;2;5;2;0;0;1;0;0;1;0;0;525477,787800000049174;5384683,549000000581145;9,345672550000074;48,614705743000059;1
203288;08230320115100920080;08;1;15;003;2023;03;07;2;3;3;6;0;0;1;1;0;0;0;0;500711,024000000208616;5393099,144999999552965;9,009661438000023;48,690932145000033;1
203291;08230319336300877810;08;3;36;081;2023;03;14;1;3;0;7;0;1;1;0;0;0;0;0;412430,514000000432134;5279502,373400000855327;7,833644214000060;47,662984654000070;1
203292;08230319335200904380;08;3;35;063;2023;03;12;1;2;1;5;0;0;1;1;0;0;0;0;498062,893500000238419;5288415,620400000363588;8,974156912000069;47,749108577000072;1
203297;08230319222500862700;08;2;22;000;2023;03;13;1;3;6;7;0;0;0;1;1;0;0;0;461716,939299999736249;5479247,519400000572205;8,471662884000068;49,464673070000060;1
203298;08230319222400905380;08;2;26;040;2023;03;13;1;3;5;3;0;0;1;1;0;0;0;0;475043,708399999886751;5495021,165100000798702;8,654580124000063;49,607244794000053;1
203300;08230319221011871200;08;2;26;012;2023;03;17;1;3;2;6;0;0;1;0;0;0;0;1;476253,554399999789894;5477478,676500000059605;8,672381461000043;49,449505146000035;1
203302;08230319121100877890;08;1;25;026;2023;03;13;1;3;0;2;0;0;1;0;0;0;0;0;493674,327899999916553;5442813,853800000622869;8,913275746000068;49,138121101000081;1
203309;08230318337010873450;08;3;37;096;2023;03;17;7;3;5;3;0;0;1;1;0;0;0;0;418557,198599999770522;5268348,324899999424815;7,917304551000029;47,563441239000042;1
203310;08230318335100859540;08;3;35;043;2023;03;16;7;3;0;7;0;0;1;0;0;0;0;0;513576,974899999797344;5280374,856300000101328;9,180880484000056;47,676621021000074;1
203312;08230318327100856880;08;3;27;050;2023;03;08;7;3;5;3;0;0;1;1;0;0;0;0;485419,738800000399351;5314419,755000000819564;8,804606825000064;47,982914856000036;1
203313;08230320216300862110;08;2;16;033;2023;03;07;2;3;5;3;0;0;1;1;0;0;0;0;447278,968399999663234;5413177,177500000223517;8,281077886000048;48,869312515000047;1
203315;08230318317200882710;08;3;17;057;2023;03;15;7;2;0;1;0;0;1;0;0;0;0;0;414445,015899999998510;5382000,130000000819564;7,839889819000064;48,585239835000039;1
203316;08230318317100857450;08;3;17;001;2023;03;15;7;3;8;1;0;0;1;0;0;0;0;0;431099,942099999636412;5386606,490199999883771;8,064927806000071;48,628727844000082;1
203317;08230318316100875720;08;3;16;020;2023;03;15;7;3;0;3;0;0;1;0;0;0;0;0;408526,527999999932945;5339287,360999999567866;7,768958721000047;48,200224498000068;1
203319;08230318226200912110;08;2;26;032;2023;03;18;7;3;7;7;0;0;1;0;0;0;0;0;468168,599600000306964;5462730,598999999463558;8,562020782000047;49,316480078000041;1
203321;08230318222700890520;08;2;22;000;2023;03;18;7;3;3;6;1;0;1;1;0;0;0;0;461738,766300000250340;5482340,650100000202656;8,471664881000038;49,492495562000045;1
203325;08230318212010886550;08;2;12;000;2023;03;17;7;2;5;2;0;0;1;0;0;0;0;1;459042,146399999968708;5428955,655200000852346;8,439889505000053;49,012132853000026;1
203328;08230318136200883010;08;1;36;019;2023;03;22;7;3;9;1;2;0;1;0;0;0;0;0;581365,032599999569356;5425956,198799999430776;10,112007648000031;48,981151039000054;1
203330;08230318121600891150;08;1;25;008;2023;03;09;7;3;5;3;0;0;1;1;0;0;0;0;523111,819000000134110;5431843,889000000432134;9,316230792000056;49,039040336000028;1
203331;08230318121400879760;08;1;25;086;2023;03;00;7;3;0;1;2;0;1;0;0;0;0;0;503988,629200000315905;5443312,748600000515580;9,054688616000021;49,142628476000027;1
203333;08230318116100870970;08;1;16;056;2023;03;15;7;3;0;2;0;0;1;1;0;0;0;0;531281,037600000388920;5394818,676400000229478;9,425172822000036;48,705617129000075;1
203334;08230318115400885840;08;1;15;045;2023;03;17;7;3;0;1;0;0;1;0;0;0;0;0;500357,377799999900162;5397434,393699999898672;9,004859826000029;48,729932651000070;1
203335;08230318115300856280;08;1;15;050;2023;03;14;7;3;0;7;0;0;1;1;0;0;0;0;492142,805100000463426;5396776,591299999505281;8,893166041000029;48,723965609000061;1
203337;08230318111310921670;08;1;11;000;2023;03;16;7;3;0;7;0;0;1;0;0;0;0;0;516379,752000000327826;5406101,893999999389052;9,223085407000042;48,807689539000080;1
203339;08230318111210922140;08;1;11;000;2023;03;15;7;3;5;3;0;0;1;1;0;0;0;0;511638,735999999567866;5397611,183000000193715;9,158274809000034;48,731414460000053;1
203340;08230317436400854670;08;4;36;011;2023;03;12;6;3;5;3;0;0;1;1;0;0;0;0;548453,500599999912083;5297291,160399999469519;9,647391566000067;47,827143930000034;1
203341;08230317436200854750;08;4;36;064;2023;03;21;6;3;0;1;2;0;1;0;0;0;0;0;546164,449199999682605;5292232,383700000122190;9,616270626000073;47,781798642000069;1
203342;08230317415100879510;08;4;15;039;2023;03;22;6;3;0;7;2;0;1;0;0;0;0;0;530029,415400000289083;5374363,744699999690056;9,406680633000065;48,521666190000076;1
203343;08230317335100860080;08;3;35;043;2023;03;15;6;3;1;5;0;0;1;1;0;0;0;0;512254,747100000269711;5281362,249199999496341;9,163292782000042;47,685531657000070;1
203344;08230317325302857300;08;3;25;053;2023;03;15;6;3;9;1;0;0;1;0;0;0;0;0;453698,887400000356138;5342239,541200000792742;8,376506086000063;48,231685624000079;1
203345;08230317325000874220;08;3;27;002;2023;03;15;6;2;8;7;0;0;0;1;1;0;0;0;477972,442599999718368;5326783,656500000506639;8,704169030000060;48,093939845000079;1
203347;08230317316200879490;08;3;16;056;2023;03;10;6;3;0;6;0;0;1;1;0;0;0;1;423883,175099999643862;5328683,366599999368191;7,977486452000051;48,106863333000035;1
203348;08230317311010882590;08;3;11;000;2023;03;17;6;3;3;2;0;0;1;1;0;0;0;0;411021,873700000345707;5314690,274599999189377;7,807659297000043;47,979326235000030;1
203350;08230317231000881450;08;2;31;000;2023;03;06;6;3;6;7;1;0;0;1;1;0;0;0;478135,226499999873340;5415873,920099999755621;8,701690023000026;48,895427248000033;1
203351;08230317436400855370;08;4;36;082;2023;03;14;6;3;5;3;0;0;1;1;0;0;0;0;547524,517500000074506;5295675,613500000908971;9,634802917000059;47,812678309000034;1
203353;08230317222800879380;08;2;22;000;2023;03;11;6;3;5;3;0;0;1;1;0;0;0;0;462483,052500000223517;5486266,819099999964237;8,481568933000062;49,527855772000066;1
203354;08230317212702866380;08;2;15;017;2023;03;07;6;2;6;7;0;0;1;0;1;0;0;0;456188,945500000379980;5421038,573400000110269;8,401726207000024;48,940721430000053;1
203355;08230317212010861350;08;2;12;000;2023;03;07;6;3;5;3;0;0;1;1;0;0;0;0;453774,662800000049174;5428564,628100000321865;8,367904001000056;49,008243410000034;1
203357;08230317135100883170;08;1;35;031;2023;03;12;6;3;1;5;0;0;1;1;0;0;0;0;594007,933199999853969;5380776,614600000903010;10,274425722000046;48,573023836000061;1
