OID_;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstige;ULICHTVERH;IstGkfz;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;UIDENTSTLAE;IstStrassenzustand
181624;08;1;11;000;2021;04;14;6;3;5;3;1;1;0;0;0;0;0;512924,610328419134021;5408573,075519939884543;9,176105936000056;48,830001401000061;08210409111500705540;0
181626;08;3;11;000;2021;04;09;5;3;6;2;0;1;1;0;0;0;0;413342,042671618983150;5317072,992258554324508;7,838262734000068;48,001078118000066;08210415311010706720;0
181627;08;2;11;000;2021;04;16;7;3;0;7;1;0;0;0;0;0;0;443707,291569172404706;5401802,744815913960338;8,233938427000055;48,766684471000076;08210424211100727300;0
181631;08;2;22;000;2021;04;12;3;3;1;7;1;1;0;0;0;0;0;461266,721543635241687;5482373,206615773960948;8,465143697000030;49,492758438000067;08210406222200721820;0
181632;08;1;36;065;2021;03;07;3;2;5;3;1;0;0;0;0;1;0;558060,347855857573450;5405737,225386524572968;9,790669998000055;48,801913115000048;08210330136300670920;0
181633;08;2;21;000;2021;04;09;3;3;1;6;1;1;0;0;0;0;0;477588,268039479851723;5474617,604522841051221;8,690957330000060;49,423821065000027;08210413221300713430;0
181634;08;1;19;020;2021;04;08;5;3;5;3;1;1;0;0;0;0;0;520258,898781722411513;5407546,742777859792113;9,275988529000074;48,820572765000065;08210429119200742050;0
181635;08;2;16;043;2021;04;14;6;2;5;3;1;0;0;0;0;0;0;441890,485586402006447;5411534,657765911892056;8,207838898000034;48,854056577000051;08210423216100759060;0
181636;08;4;15;061;2021;03;17;4;3;5;3;1;1;0;0;0;0;0;513447,279038907028735;5371446,899523250758648;9,182020942000065;48,495999532000042;08210331415400775280;0
181637;08;2;12;000;2021;05;19;2;3;0;6;1;1;0;0;0;0;0;461290,742169408127666;5427724,707321710884571;8,470755650000058;49,001205368000058;08210503212102781530;0
181640;08;1;11;000;2021;04;16;5;3;5;3;1;1;0;0;0;0;0;511938,719962280243635;5402242,749228220432997;9,162488563000068;48,773074210000061;08210429111500746240;0
181641;08;3;16;011;2021;04;07;5;3;5;3;1;1;0;0;0;0;0;414699,124374176375568;5329067,626095756888390;7,854060088000040;48,109156007000081;08210422316100754100;0
181642;08;3;11;000;2021;03;17;4;3;5;3;1;0;0;0;1;0;0;413743,542300620116293;5318369,040658870711923;7,843383442000061;48,012790819000031;08210331311010680720;0
181643;08;1;16;033;2021;04;21;7;2;9;1;1;0;0;0;0;0;0;532520,486610734835267;5387043,474123004823923;9,441407567000056;48,635609058000057;08210410116010710480;0
181644;08;1;11;000;2021;05;12;2;3;5;3;1;0;0;0;1;0;0;519326,512542034499347;5401908,729498559609056;9,263021429000048;48,769883794000066;08210503111500788250;0
181645;08;2;36;004;2021;04;21;7;3;9;7;1;0;0;0;0;2;0;470592,984542150050402;5413210,415756048634648;8,598982066000076;48,871155399000031;08210424231202744250;0
181648;08;2;21;000;2021;06;13;1;3;4;6;1;0;0;0;0;0;0;476697,151079609990120;5475734,426528656855226;8,678604009000026;49,433833169000081;08210606221011878840;0
181649;08;4;16;015;2021;05;14;1;3;6;4;1;0;1;0;0;0;0;507018,885979425162077;5366178,767123965546489;9,094918638000024;48,448709843000074;08210509416010790360;0
181650;08;2;15;096;2021;05;13;7;3;6;7;0;1;1;0;0;0;0;465748,362581068649888;5418163,750956321135163;8,532503729000041;48,915464369000063;08210522212010830290;0
181651;08;2;22;000;2021;05;08;3;3;5;2;1;1;0;0;0;0;0;461991,014358320273459;5482950,796264052391052;8,475089237000077;49,497999355000047;08210518222700843690;1
181652;08;4;21;000;2021;05;15;7;3;6;4;0;1;1;0;0;0;0;572393,386000006459653;5356594,933999510481954;9,977272299000049;48,358376439000040;08210529421300838690;0
181653;08;1;11;000;2021;06;11;6;2;5;3;1;1;0;0;0;0;0;516124,782244345173240;5393799,217726411297917;9,219131033000053;48,697022084000025;08210604111500963950;0
181655;08;3;11;000;2021;05;16;2;3;5;2;1;0;0;0;0;0;0;417471,240459735505283;5315015,144272832199931;7,894003512000040;47,983113145000061;08210517311010829820;0
181656;08;1;25;056;2021;06;19;3;3;5;3;1;0;0;0;0;0;0;510653,800124072469771;5436327,195572668686509;9,145891061000043;49,079711092000082;08210601121400878030;0
181657;08;3;26;006;2021;05;18;3;3;0;1;1;0;0;0;0;0;0;458634,549581903032959;5308602,014822240918875;8,446224166000036;47,929402201000073;08210525326100832770;0
181659;08;2;21;000;2021;05;16;5;3;6;4;1;0;1;0;0;0;0;475542,409434048458934;5469114,035578185692430;8,663085634000026;49,374238533000039;08210513221400829990;0
181662;08;1;25;017;2021;05;13;1;3;0;7;1;1;0;0;0;0;0;502589,221974573098123;5432129,584551800042391;9,035429507000060;49,042038151000042;08210509121400789360;0
181663;08;1;19;041;2021;05;23;7;3;0;1;1;0;0;0;0;2;0;525882,824316712096334;5410018,425900408998132;9,352758402000063;48,842598433000035;08210522119400819310;0
181664;08;3;17;114;2021;05;23;6;3;0;1;1;0;0;0;0;2;0;405615,364999976940453;5346747,416999500244856;7,728128307000077;48,266898595000043;08210528317010834320;0
181666;08;1;21;000;2021;05;16;2;3;5;3;1;0;0;0;1;0;0;515654,201630068011582;5443017,071349838748574;9,214624579000031;49,139782223000054;08210524121200849410;0
181674;08;2;26;085;2021;05;17;1;3;1;5;1;1;0;0;0;0;0;493696,886783572845161;5453239,337589941918850;8,913421565000021;49,231901859000061;08210523226500849110;0
181675;08;3;17;001;2021;05;17;2;3;5;3;1;1;0;0;0;0;0;431092,456933424808085;5387303,809953847900033;8,064710305000062;48,634999406000077;08210510317100812860;1
181676;08;3;37;002;2021;05;20;5;3;6;4;0;1;1;0;0;0;0;435782,732345355674624;5272301,126676645129919;8,145691555000042;47,600936917000070;08210513337010810260;0
181678;08;1;35;015;2021;06;12;5;3;0;1;1;0;0;0;0;0;0;585701,945726700127125;5383617,269952746108174;10,162436177000075;48,599764951000054;08210603135100865400;0
181679;08;1;11;000;2021;05;19;6;3;0;7;1;0;0;0;0;0;0;511416,864460698328912;5411037,402835184708238;9,155630704000032;48,852199628000051;08210507111330787400;0
181680;08;1;11;000;2021;05;17;4;3;5;7;1;1;0;0;0;0;0;519822,035009526647627;5401108,163464169949293;9,269726523000031;48,762666408000030;08210526111500850520;0
181688;08;4;15;061;2021;05;11;3;3;5;3;1;1;0;0;0;0;0;510691,382788785733283;5369879,701019797474146;9,144677451000064;48,481953347000058;08210525415400838300;0
181689;08;3;37;002;2021;06;16;4;3;0;1;1;0;0;0;0;0;0;433518,043163343332708;5270733,767205677926540;8,115804695000065;47,586607450000031;08210602337200871810;0
181690;08;3;36;081;2021;05;08;3;3;5;3;1;1;0;0;0;0;0;411094,604999983683228;5277590,332999490201473;7,816243710000037;47,645602064000059;08210511336300792630;1
181691;08;3;35;043;2021;05;10;7;3;2;6;1;1;0;0;0;0;0;513323,670822557061911;5279733,530077550560236;9,177486266000074;47,670855857000049;08210515335100800820;0
181692;08;1;18;067;2021;06;12;4;3;6;7;0;1;1;0;0;0;0;506042,133344457484782;5413742,586286164820194;9,082404308000037;48,876610587000073;08210602118200865240;0
181693;08;3;36;050;2021;05;14;7;3;4;6;1;0;0;0;0;0;0;403030,645023084245622;5277646,732731241732836;7,708888260000037;47,644951478000053;08210508336100812870;0
181694;08;4;35;029;2021;05;12;6;2;0;1;1;0;0;0;0;0;0;545357,315963344648480;5270471,538529995828867;9,603234943000075;47,586069660000078;08210528435100853010;0
181695;08;1;18;011;2021;06;10;3;3;0;7;1;0;0;0;0;0;0;504616,752574595622718;5408257,094841089099646;9,062902732000055;48,827276220000044;08210601118000868270;0
181698;08;3;17;057;2021;05;23;6;3;4;6;1;0;0;0;0;2;0;416447,886753053404391;5379916,260897405445576;7,867461571000035;48,566766812000026;08210521317200827150;0
181699;08;2;31;000;2021;05;14;6;3;3;2;1;1;0;0;0;0;0;478569,978378070518374;5416012,953274453058839;8,707614143000058;48,896693134000031;08210514231000848380;0
181700;08;2;25;058;2021;05;10;6;2;6;4;0;1;1;0;0;0;0;510587,916930470615625;5466609,262801891192794;9,145787795000047;49,352106976000073;08210521225100850110;0
181701;08;3;17;034;2021;06;17;6;3;8;7;1;0;0;0;0;0;0;425982,184591321274638;5363156,275433164089918;7,999646040000073;48,417208693000077;08210604317500872570;0
181702;08;2;22;000;2021;05;13;7;3;0;7;1;0;0;0;0;0;0;464301,433713777922094;5483069,202493943274021;8,506984551000073;49,499204729000041;08210508222301797920;0
181703;08;3;17;096;2021;05;08;5;3;5;2;1;1;0;0;0;0;0;422091,470726958476007;5371085,768553994596004;7,945595997000055;48,488064997000038;08210527317500831360;0
181704;08;1;35;010;2021;06;10;1;2;0;2;1;0;0;0;0;0;0;601090,746000032871962;5396722,319999514147639;10,374308287000076;48,715330397000059;08210606135010890230;1
181705;08;3;35;063;2021;05;16;7;3;0;2;1;0;0;1;0;0;0;498546,039233888499439;5293437,091673733666539;8,980585788000042;47,794290768000053;08210508335200805420;0
181706;08;1;28;126;2021;05;12;7;3;8;1;1;0;0;0;0;0;0;563589,518625528551638;5479919,115736633539200;9,877660006000042;49,468590899000048;08210529128100854180;0
181713;08;4;16;041;2021;05;17;6;3;5;3;1;1;0;0;0;0;0;504379,835531598888338;5373419,406223103404045;9,059305828000049;48,513873616000069;08210507416200797420;0
181714;08;1;36;028;2021;05;17;6;3;6;7;0;1;1;0;0;0;0;568844,883177900686860;5404250,498380742967129;9,937266483000030;48,787439532000064;08210528136300834600;0
181715;08;4;25;031;2021;06;16;2;2;6;4;0;1;1;0;0;0;0;571001,991100001148880;5367286,451999511569738;9,960301007000055;48,454707711000026;08210607117010902750;0
181716;08;2;26;018;2021;05;16;2;3;6;4;0;1;1;0;0;0;0;473219,702884183265269;5472131,848920702934265;8,630886663000069;49,401285558000041;08210531221011855910;0
181718;08;3;36;091;2021;05;14;3;3;3;3;1;1;0;0;0;0;0;395925,119999961927533;5271937,668999480083585;7,615664808000076;47,592494022000039;08210511311010794460;1
181720;08;2;15;066;2021;05;17;5;2;5;3;1;0;0;0;0;0;0;457478,568696317262948;5453612,924924829974771;8,415909191000026;49,233818190000079;08210520215502860940;0
181721;08;2;36;004;2021;06;14;5;3;4;6;1;1;0;0;0;0;0;474000,999041900970042;5413678,482237949967384;8,645425773000056;48,875518218000082;08210603231202885570;0
181723;08;2;15;103;2021;05;17;4;3;5;3;1;1;0;0;0;0;0;466752,294990829192102;5442564,508468620479107;8,544205553000040;49,135011065000072;08210526215402831960;1
181725;08;2;36;070;2021;05;13;5;3;0;1;1;0;0;0;0;0;0;468913,366285075433552;5416819,580306587740779;8,575803533000055;48,903539877000071;08210513231202796660;0
181726;08;2;26;032;2021;06;15;4;3;1;5;1;1;0;0;0;0;0;467051,617860023863614;5463653,291293183341622;8,546576149000032;49,324720277000040;08210602226200865640;0
181728;08;3;11;000;2021;05;07;3;3;5;3;1;0;0;0;0;0;0;410317,769323620945215;5318860,203913740813732;7,797354637000069;48,016737295000041;08210518311010826430;1
181729;08;3;36;050;2021;05;00;7;3;0;7;1;0;0;0;0;2;0;399505,403227406553924;5275078,071098994463682;7,662553704000061;47,621307821000073;08210529336100859750;0
