OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
22537;08;3;35;077;2019;01;06;3;3;5;2;2;1;1;0;0;0;0;494129,861660495400000;5293797,242876669400000;8,921613329000024;47,797506109000039;0
22538;08;3;26;074;2019;01;17;3;2;6;4;2;0;1;1;0;0;0;460474,668695742260000;5320515,074594784500000;8,469760933000032;48,036698102000059;0
22540;08;3;16;011;2019;01;16;3;3;0;1;0;1;0;0;0;0;0;412919,834264255130000;5331208,690258411700000;7,829724682000062;48,128174330000036;0
22552;08;1;11;000;2019;01;01;5;3;6;1;2;0;1;1;0;0;0;513135,932387980630000;5403460,510238030900000;9,178821713000048;48,784004967000044;2
22553;08;2;26;099;2019;01;18;3;3;6;7;2;0;1;1;0;0;0;482591,665501648560000;5479362,932618223100000;8,759741602000077;49,466668332000040;0
22567;08;1;11;000;2019;01;16;5;2;6;2;0;0;1;1;0;0;0;513456,094000000510000;5401630,615000003900000;9,183120223000060;48,767536528000051;1
22578;08;1;11;000;2019;01;07;3;2;6;4;2;0;1;1;0;0;0;509781,087738493460000;5403728,946562262300000;9,133158173000027;48,786481608000031;0
22579;08;1;11;000;2019;01;13;3;2;6;2;0;0;1;1;0;0;0;518375,131466716530000;5403113,383437845900000;9,250127707000047;48,780749540000045;0
22582;08;4;35;057;2019;01;14;2;3;5;3;0;1;1;0;0;0;0;544512,167184648100000;5279841,630122955900000;9,592948184000022;47,670433660000072;0
22594;08;3;17;065;2019;01;07;2;3;6;4;2;0;1;1;0;0;0;414183,926151689140000;5354821,065819660200000;7,841925650000064;48,340739023000026;0
22597;08;3;11;000;2019;01;16;2;3;5;3;0;1;1;0;0;0;0;410170,547038616610000;5318808,579001955700000;7,795391646000041;48,016252237000060;0
22599;08;3;25;045;2019;01;13;5;3;6;4;0;0;1;1;0;0;0;467122,858362967150000;5348927,406743206100000;8,556747543000029;48,292691170000069;1
22603;08;2;36;040;2019;01;17;2;3;6;7;2;1;0;1;0;0;0;488983,192208075900000;5420254,561101939500000;8,849574153000049;48,935122132000060;0
22619;08;1;25;039;2019;01;13;2;3;5;3;0;1;1;0;0;0;0;511418,172990467400000;5458638,490986436600000;9,156991721000054;49,280394203000071;0
22639;08;1;11;000;2019;01;14;2;1;6;4;0;0;0;1;0;0;1;516267,634419474750000;5405701,951040059300000;9,221542576000047;48,804094656000075;0
22650;08;1;19;067;2019;01;07;5;2;0;1;1;1;0;0;0;0;0;539623,812473150900000;5405942,143606266000000;9,539634051000064;48,805205176000072;2
22659;08;2;36;070;2019;01;00;1;3;1;5;2;1;1;0;0;0;0;470430,690916427410000;5416137,187516812200000;8,596557230000030;48,897475676000056;0
22663;08;2;12;000;2019;01;01;1;3;6;7;2;1;0;1;0;0;0;457875,762000001970000;5428001,250000001900000;8,424038722000034;49,003469310000071;0
22690;08;1;17;024;2019;01;07;6;3;6;4;2;0;1;1;0;0;0;562001,001208170320000;5386631,252524698200000;9,841456962000052;48,629672641000070;0
22695;08;2;12;000;2019;01;03;7;3;6;4;2;0;1;1;0;0;0;460496,568080433640000;5425706,821426212800000;8,460094148000053;48,983003708000069;0
22697;08;3;17;001;2019;01;18;7;3;6;4;2;0;1;1;0;0;0;431966,098483969460000;5386622,375664018100000;8,076678576000063;48,628965562000076;0
22703;08;1;19;079;2019;01;18;7;3;6;2;2;0;1;1;0;0;0;521752,763370579110000;5411178,023371903200000;9,296532030000037;48,853188346000081;0
22704;08;1;27;102;2019;01;06;5;2;6;1;2;0;1;1;0;0;0;586231,397972855720000;5435625,334468260400000;10,180556966000040;49,067451911000035;2
22718;08;4;26;128;2019;01;17;6;2;6;4;2;0;1;1;0;0;0;559673,639552005570000;5331057,588536340700000;9,801982300000077;48,129975126000033;1
22728;08;3;35;075;2019;01;07;6;3;0;3;2;1;1;0;0;0;0;487322,128910695200000;5290201,638368425900000;8,830811827000048;47,765056612000080;1
22735;08;3;26;060;2019;01;14;6;3;6;7;0;0;0;1;0;0;1;442795,959316611290000;5330904,186535850200000;8,231225241000061;48,128821889000051;1
22740;08;3;17;150;2019;01;14;6;3;1;6;0;1;1;0;0;0;0;408108,791416108610000;5355980,195805266500000;7,759708998000065;48,350310372000081;0
22787;08;1;17;051;2019;01;12;6;3;5;3;0;1;1;0;0;0;0;542261,245632926930000;5395364,026420777700000;9,574465172000032;48,709875523000051;0
22790;08;1;16;014;2019;01;14;6;3;1;6;0;1;1;0;0;0;0;528368,835320068520000;5395609,773360986300000;9,385645442000055;48,712872999000069;1
22796;08;1;15;003;2019;01;13;6;3;6;4;0;0;1;1;0;0;0;500452,232687002050000;5392365,968493484000000;9,006144163000045;48,684336652000070;1
22797;08;1;19;079;2019;01;13;5;3;6;4;0;0;1;1;0;0;0;523946,120579639450000;5411432,505596708500000;9,326446110000063;48,855396818000031;0
22804;08;1;26;058;2019;01;12;5;3;6;4;0;0;1;1;0;0;0;541975,131706608460000;5450560,588248932700000;9,576267710000025;49,206400681000048;1
22815;08;1;18;021;2019;01;18;5;2;2;6;2;1;1;0;0;0;0;518278,588000000450000;5429152,968300001700000;9,249978874000021;49,014996453000037;0
22824;08;1;15;051;2019;01;11;5;3;5;3;0;1;1;0;0;0;0;503842,155657727270000;5385442,357248609900000;9,052136361000066;48,622039098000073;2
