FID;OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrasse;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
114953;114954;08;2;26;085;2016;06;15;7;3;0;3;0;0;0;1;1;0;0;0;492986,399800000010000;5455706,585799999500000;8,903619274000000;49,254087581000000
114955;114956;08;2;12;000;2016;06;06;2;1;5;3;0;0;1;0;0;0;1;0;452187,572999999970000;5429159,399000000200000;8,346133163999999;49,013472458999999
114956;114957;08;4;35;005;2016;06;12;5;3;7;7;0;0;1;0;0;0;0;0;524695,922400000040000;5285813,985700000100000;9,329319776000000;47,725230508000003
114958;114959;08;2;12;000;2016;07;18;2;3;5;3;0;0;1;1;0;0;0;0;452071,334700000010000;5426962,154600000000000;8,344802976000000;48,993699178999996
114960;114961;08;2;12;000;2016;07;10;6;2;6;4;0;0;1;0;1;0;0;0;454288,447300000000000;5428872,029900000400000;8,374894554000001;49,011046780999997
114963;114964;08;3;26;074;2016;07;12;6;3;5;3;0;0;1;1;0;0;0;0;465956,879699999990000;5323408,656499999600000;8,543072880000000;48,063047019999999
114964;114965;08;3;36;050;2016;06;13;5;2;6;4;0;0;0;1;1;0;0;0;399389,134399999980000;5273704,934999999600000;7,661322105000000;47,608937955000002
114965;114966;08;3;35;079;2016;07;08;3;2;0;7;0;0;1;0;0;0;0;0;500750,186700000020000;5299843,557199999700000;9,010028067000000;47,851933926000001
114970;114971;08;4;37;078;2016;07;18;6;2;7;1;0;0;1;0;0;0;0;0;508366,420999999970000;5315648,628399999800000;9,112144360000000;47,994082724999998
114972;114973;08;3;17;089;2016;07;19;6;2;4;6;0;0;1;0;0;0;0;1;429167,139900000010000;5378613,423499999600000;8,040063762000001;48,556614359999998
114973;114974;08;2;12;000;2016;06;13;5;3;5;2;0;0;1;1;0;0;0;0;456730,705299999970000;5428851,564500000300000;8,408292694000000;49,011038784000000
114974;114975;08;3;36;050;2016;07;15;3;3;6;4;0;0;0;1;1;0;0;0;399529,641799999980000;5273659,809299999800000;7,663201446000000;47,608553831999998
114975;114976;08;3;17;065;2016;07;13;6;2;5;3;0;0;1;0;0;0;1;0;414709,751800000030000;5354201,318799999500000;7,849145583000000;48,335235711999999
114977;114978;08;3;16;056;2016;07;17;3;3;3;2;0;0;1;1;0;0;0;0;422729,731700000000000;5327428,271300000100000;7,962221605000000;48,095434161999997
114980;114981;08;1;27;076;2016;07;19;6;3;4;6;0;0;1;0;0;0;0;0;553631,809000000010000;5440402,426000000000000;9,734934144000000;49,114122592999998
114981;114982;08;1;15;041;2016;07;00;1;3;6;4;2;0;0;1;1;0;0;0;495173,023200000000000;5401924,040599999900000;8,934307426000000;48,770302933000004
114982;114983;08;4;26;097;2016;07;14;6;2;6;3;0;0;0;1;1;0;0;0;535981,631999999980000;5332937,446399999800000;9,483748696999999;48,148668276000002
114983;114984;08;2;26;084;2016;06;15;5;2;0;1;0;0;1;0;0;0;0;0;469077,931400000000000;5469995,985200000000000;8,573968277000001;49,381877664000001
114984;114985;08;2;37;002;2016;07;12;3;3;6;6;0;0;1;0;1;0;0;0;455206,270499999980000;5354701,206700000000000;8,395481749000000;48,343901961000000
114985;114986;08;2;12;000;2016;07;17;2;3;5;3;0;0;1;0;0;0;0;1;455885,138500000000000;5427612,723899999600000;8,396864837000001;48,999835404999999
114991;114992;08;1;11;000;2016;07;16;2;3;6;7;0;0;0;1;1;0;0;0;512300,278999999980000;5408819,220300000200000;9,167606454000000;48,832228362000002
114992;114993;08;2;22;000;2016;07;16;3;3;5;3;0;0;1;1;0;0;0;0;464092,194900000000000;5486196,502299999800000;8,503810505000001;49,527320801000002
