OBJECTID;UIDENTSTLA;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;LICHT;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
153827;08170803335200058510;08;3;35;063;2017;08;11;5;3;0;1;1;0;0;0;0;0;0;497829,197800000020000;5287011,327499999700000;8,971046168000044;47,736472579000065
153828;08170803335100079530;08;3;35;043;2017;08;15;5;3;2;6;1;1;0;0;0;0;0;515750,378000000030000;5279312,989900000400000;9,209797362000074;47,667017427000076
153829;08170803335010055390;08;4;35;018;2017;08;12;5;3;2;6;1;0;0;0;0;0;0;523400,415800000020000;5280119,598299999700000;9,311738910000031;47,674043378000079
153833;08170803311500056290;08;3;15;052;2017;08;16;5;3;0;1;1;0;0;0;0;0;0;432969,311899999970000;5305952,258500000500000;8,103080710000029;47,903393830000027
153834;08170803311010066460;08;3;15;003;2017;08;16;5;2;5;3;1;1;0;0;0;0;0;412945,867399999990000;5312276,260999999900000;7,833924928000045;47,957876001000045
153836;08170803311010055030;08;3;11;000;2017;08;07;5;3;5;3;1;0;0;0;0;0;0;413044,166199999980000;5316504,772500000000000;7,834385408000060;47,995926346000033
153837;08170803299200072730;08;2;12;000;2017;08;13;5;3;4;6;1;0;0;0;1;0;0;452936,582700000030000;5428527,492999999800000;8,356448955000076;49,007846032000032
153838;08170803299200064260;08;2;12;000;2017;08;16;5;3;6;4;1;0;1;0;0;0;0;456548,527000000000000;5429069,648000000000000;8,405778200000043;49,012987668000051
153839;08170803299200063910;08;2;12;000;2017;08;15;5;3;1;5;1;1;0;0;0;0;0;453958,942500000000000;5428395,413999999900000;8,370442915000069;49,006735095000067
153841;08170803235010055450;08;2;31;000;2017;08;16;5;3;0;1;1;0;0;0;0;0;1;477445,318000000030000;5414727,315999999600000;8,692340751000074;48,885088057000075
153843;08170803226200055770;08;2;26;032;2017;08;19;5;3;0;4;0;1;1;0;0;0;0;466901,731099999980000;5461794,978600000000000;8,544667644000072;49,307996948000039
153847;08170803222014072000;08;2;22;000;2017;08;15;5;3;0;2;0;1;1;0;0;0;0;461808,163899999990000;5481042,539800000400000;8,472748527000022;49,480824116000065
153849;08170803221300081090;08;2;21;000;2017;08;11;5;3;5;3;1;1;0;0;0;0;0;477147,933699999990000;5474535,882600000100000;8,684890219000067;49,423069606000070
153852;08170803126010072180;08;1;21;000;2017;08;13;5;2;5;3;1;0;0;0;0;0;0;515650,005799999980000;5443018,891800000300000;9,214567124000041;49,139798705000032
153854;08170803121200058700;08;1;21;000;2017;08;09;5;3;1;7;1;0;0;0;1;0;0;516309,704399999990000;5442593,612800000200000;9,223594546000072;49,135956018000059
153855;08170803119300058840;08;1;19;067;2017;08;18;5;3;0;3;1;0;0;0;1;0;0;539257,284600000010000;5406163,070799999900000;9,534663687000034;48,807215793000069
153856;08170803115400078030;08;1;15;045;2017;08;20;5;3;6;4;0;1;1;0;0;0;0;498719,295600000010000;5397240,106999999800000;8,982584859000042;48,728183627000078
153857;08170803111500077500;08;1;11;000;2017;08;14;5;2;5;3;1;1;0;0;0;0;0;506371,266799999980000;5406430,046000000100000;9,086779389000071;48,810824768000032
153858;08170803111500055790;08;1;11;000;2017;08;12;5;3;6;7;0;1;1;0;0;0;0;516051,734000000000000;5405540,723299999700000;9,218596031000061;48,802649887000030
153860;08170802437100054370;08;4;37;100;2017;08;19;4;3;5;3;1;1;0;0;0;0;0;537296,968100000060000;5318220,130400000100000;9,500146612000037;48,016185016000065
153861;08170802436500053550;08;4;36;055;2017;08;10;4;2;9;1;1;0;0;0;0;0;0;572617,968699999970000;5293170,725300000000000;9,969525176000047;47,787801161000061
