OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
18639;08200922311010131660;08;3;15;073;2020;09;07;3;3;4;6;0;1;0;0;0;0;0;412747,853000000120000;5312491,242000000600000;7,831229508000035;47,959782880000034;0
18642;08200924115400168710;08;1;15;045;2020;09;06;5;3;5;3;2;1;0;0;0;0;1;497750,487900000070000;5396158,539899999300000;8,969416821000039;48,718451052000034;1
18647;08200922121200164950;08;1;21;000;2020;09;21;3;3;6;2;2;0;1;1;0;0;0;516232,718299999830000;5441270,877100000200000;9,222485882000058;49,124059593000027;0
18648;08200921311010173410;08;3;15;109;2020;09;19;2;3;0;6;1;1;1;0;0;0;0;425264,359799999740000;5317341,992000000600000;7,998019215000056;48,005003091000049;0
18656;08200923435100178250;08;4;35;016;2020;09;14;4;3;3;6;0;1;0;0;0;0;1;533165,414400000130000;5278484,012099999900000;9,441700051000055;47,658900109000058;0
18658;08200921311010149540;08;3;11;000;2020;09;14;2;3;3;6;0;1;0;0;0;0;0;413255,848699999970000;5315842,386299999400000;7,837356207000028;47,989996710000071;0
18662;08200920317500138800;08;3;17;096;2020;09;11;1;3;5;2;0;1;1;0;0;0;0;420475,233000000010000;5368148,949999999300000;7,924284659000023;48,461446310000042;0
18663;08200925115200179820;08;1;15;021;2020;09;19;6;3;6;4;2;0;1;1;0;0;0;490054,357599999760000;5382300,479599999300000;8,865117471000076;48,593706847000078;1
18664;08200922421300132410;08;4;21;000;2020;09;19;3;3;6;2;1;0;1;1;0;0;0;570093,876699999910000;5362006,443099999800000;9,947137384000030;48,407314388000032;0
18674;08200922335100292450;08;3;35;002;2020;09;18;3;3;4;2;0;1;1;0;0;0;0;505619,884600000460000;5289967,016100000600000;9,074995341000033;47,763045779000038;0
18676;08200921215302279900;08;2;15;025;2020;09;09;2;3;3;6;0;1;0;0;0;1;0;474977,901700000280000;5434923,028300000400000;8,657441752000068;49,066663761000029;0
18686;08200922111500132740;08;1;11;000;2020;09;11;3;3;5;3;0;1;0;0;1;0;0;511392,290199999700000;5396820,571599999400000;9,154901566000035;48,724306666000075;0
18687;08200923118010167170;08;1;15;045;2020;09;22;4;2;0;1;2;1;0;0;0;0;0;501289,780100000090000;5394840,242100000400000;9,017531050000059;48,706594281000037;0
18689;08200922316100162760;08;3;16;017;2020;09;08;3;3;5;3;0;1;1;0;0;0;0;408984,127299999820000;5340501,489900000400000;7,774855123000066;48,211211123000055;0
18695;08200921235100131960;08;2;35;079;2020;09;12;2;3;6;4;0;0;0;1;0;0;1;469162,326999999580000;5402600,319000000100000;8,580270781000024;48,775641169000039;0
18698;08200924335000173090;08;3;35;043;2020;09;20;5;2;6;4;2;0;1;1;0;0;0;513024,140599999580000;5280531,837400000500000;9,173520017000044;47,678044857000032;1
18699;08200922311010136300;08;3;15;098;2020;09;15;3;3;4;6;0;1;0;0;0;0;0;408302,859799999740000;5313097,004799999300000;7,771572022000044;47,964610563000065;0
18701;08200921215202128350;08;2;15;039;2020;09;07;2;3;0;7;0;1;0;0;0;0;0;471393,381000000050000;5452654,023000000000000;8,607110967000040;49,226001113000052;0
18702;08200924118400168920;08;1;18;048;2020;09;15;5;3;5;2;0;1;1;0;0;0;0;516141,516999999990000;5417232,910000000100000;9,220279695000045;48,907827867000037;0
18703;08200922119400132280;08;1;19;091;2020;09;07;3;3;3;6;0;1;0;0;0;0;0;527042,688400000330000;5406855,728199999800000;9,368357319000040;48,814098305000073;0
18713;08200922116400165730;08;1;16;054;2020;09;17;3;2;0;1;0;1;0;0;0;0;0;533239,050400000070000;5381707,084899999200000;9,450732987000038;48,587565394000080;0
18714;08200921231402128160;08;2;31;000;2020;09;20;2;3;0;1;2;1;0;0;0;0;0;475762,070000000300000;5414470,145999999700000;8,669395885000029;48,882711103000076;0
18715;08200924317100159450;08;3;17;089;2020;09;07;5;2;0;7;1;1;0;0;0;0;0;430667,221800000410000;5376445,236300000900000;8,060751195000023;48,537278949000040;1
18716;08200922231000281130;08;2;36;025;2020;09;11;3;2;3;6;0;1;0;0;0;1;0;489781,799300000070000;5409188,335400000200000;8,860755129000040;48,835586621000061;0
18720;08200923136300169710;08;1;36;028;2020;09;19;4;3;0;7;1;1;0;0;0;0;0;568570,184500000440000;5404818,287900000800000;9,933621960000039;48,792577005000055;0
18725;08200922212702135840;08;2;15;046;2020;09;17;3;2;6;4;0;1;0;1;0;0;0;450729,745299999600000;5412276,798599999400000;8,328238782000028;48,861497195000027;0
18726;08200920212702163040;08;2;15;017;2020;09;14;1;3;0;7;0;1;1;0;0;0;0;457293,408999999990000;5420580,944000000100000;8,416855638000072;48,936682180000048;0
18732;08200920136300123780;08;1;36;028;2020;09;10;1;3;0;1;0;1;0;0;0;0;0;569868,239699999800000;5405746,600400000800000;9,951451104000057;48,800782392000031;0
18733;08200923127100136150;08;1;27;086;2020;09;06;4;3;0;1;2;1;0;0;0;0;0;553589,802299999630000;5444482,893500000200000;9,734900912000057;49,150828709000052;0
18737;08200924211100168270;08;2;11;000;2020;09;18;5;3;3;6;0;1;0;0;0;0;1;440852,628100000320000;5403797,087899999700000;8,194807676000039;48,784358994000058;0
18745;08200922311010171570;08;3;11;000;2020;09;18;3;3;3;6;0;1;0;0;0;0;0;414615,410099999980000;5317575,783199999500000;7,855229873000042;48,005772270000080;0
18751;08200922121600163300;08;1;25;008;2020;09;12;3;3;5;3;0;1;1;0;0;0;0;523129,684999999590000;5431834,514000000400000;9,316474707000054;49,038955333000047;0
18753;08200921416000129230;08;4;16;025;2020;09;18;2;3;5;3;0;1;1;0;0;0;0;503627,012099999930000;5361490,370100000900000;9,049008697000033;48,406559316000028;0
18754;08200923111500157410;08;1;11;000;2020;09;15;4;3;5;3;0;1;1;0;0;0;0;510813,410000000150000;5404610,447000000600000;9,147235198000033;48,794394419000071;0
18756;08200922311010131680;08;3;11;000;2020;09;22;3;3;0;7;2;1;0;0;0;0;0;415425,633799999950000;5315644,202500000600000;7,866471210000043;47,988504603000081;0
18758;08200921212010137610;08;2;12;000;2020;09;12;2;2;5;3;0;1;1;0;0;0;0;452804,473899999630000;5427425,775000000400000;8,354770644000041;48,997925945000077;0
18765;08200923226300168930;08;2;26;006;2020;09;08;4;2;5;3;0;1;1;0;0;0;0;484173,236499999650000;5467288,141000000800000;8,782050636000065;49,358100000000036;0
18772;08200923435200175730;08;4;35;066;2020;09;19;4;3;5;3;1;1;1;0;0;0;0;518213,825000000190000;5286902,971000000800000;9,242927605000034;47,735244177000027;0
18773;08200922118000166240;08;1;18;048;2020;09;08;3;2;6;2;0;0;1;1;0;0;0;511595,568599999880000;5415245,370799999700000;9,158186014000023;48,890050286000076;0
18774;08200923136300135690;08;1;36;079;2020;09;07;4;3;0;1;0;1;0;0;0;0;0;560286,658999999990000;5402485,667999999600000;9,820507869000039;48,772453334000033;0
18775;08200924436300140530;08;4;36;081;2020;09;14;5;3;5;2;0;1;1;0;0;0;0;561866,167999999600000;5282993,297000000300000;9,824546967000060;47,697360986000035;0
18783;08200922216100132100;08;2;16;043;2020;09;09;3;3;5;3;0;1;1;0;0;0;0;442429,534300000410000;5412424,450699999900000;8,215061459000026;48,862110510000036;0
18784;08200920118300184700;08;1;18;003;2020;09;17;1;3;6;4;0;1;0;1;0;0;0;510071,799899999980000;5416844,264000000400000;9,137438351000071;48,904460173000075;0
18789;08200922335300166290;08;3;35;075;2020;09;07;3;3;5;2;0;1;1;0;0;0;0;486963,254999999890000;5289708,934499999500000;8,826037401000065;47,760616340000070;0
18791;08200924136100167460;08;1;36;033;2020;09;07;5;3;5;3;0;1;1;0;0;0;0;580649,292000000370000;5416101,542999999600000;10,100277639000069;48,892611616000067;0
18795;08200921436200162840;08;4;36;064;2020;09;15;2;3;0;6;0;1;0;0;0;0;0;544675,010599999690000;5292186,345699999500000;9,596383814000035;47,781489463000071;0
18797;08200922111500134080;08;1;11;000;2020;09;15;3;3;6;4;0;0;1;1;0;0;0;513420,933600000110000;5405066,062300000300000;9,182753911000077;48,798442265000062;0
18798;08200923118400134110;08;1;18;048;2020;09;08;4;3;5;3;0;1;0;0;0;0;1;519432,296199999750000;5417059,333499999700000;9,265179504000059;48,906171913000037;0
18811;08200920116010149960;08;1;16;011;2020;09;16;1;3;8;1;0;1;0;0;0;0;0;531849,781999999660000;5379248,964999999900000;9,431706275000067;48,565524282000069;0
18813;08200929317500178880;08;3;17;096;2020;09;09;3;3;5;3;0;1;1;0;0;0;0;422066,924899999980000;5369805,538599999600000;7,945502605000058;48,476546410000026;1
18818;08200929316200160010;08;3;16;055;2020;09;17;3;3;1;5;0;1;1;0;0;0;0;427446,201399999670000;5332790,753399999800000;8,024643556000058;48,144227964000038;0
18824;08201001311100194380;08;3;15;043;2020;10;10;5;3;2;6;0;1;1;0;0;0;0;404182,814000000250000;5322246,481200000300000;7,714347658000065;48,046305819000054;0
18839;08200926118500173730;08;1;18;006;2020;09;14;7;3;6;7;0;0;1;1;0;0;0;517737,833599999550000;5421413,328700000400000;9,242245914000023;48,945389790000036;1
