OBJECTID_1;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
155564;08;4;35;018;2018;07;17;3;2;5;3;0;1;1;0;0;0;0;0;524557,592599999970000;5279889,660600000100000;9,327141565000034;47,671931582000070
155565;08;4;35;057;2018;07;10;3;3;0;1;0;1;0;0;0;0;0;0;544522,831200000020000;5279823,354100000100000;9,593088369000043;47,670268493000037
155566;08;4;35;059;2018;07;19;3;3;6;6;0;0;1;1;0;0;0;0;511818,910700000010000;5291078,201600000300000;9,157749107000029;47,772959829000058
155567;08;4;26;134;2018;07;17;3;3;1;3;0;1;1;0;0;0;0;0;558947,476999999960000;5334673,128999999700000;9,792724769000074;48,162568554000075
155569;08;4;26;021;2018;07;07;3;3;0;7;0;1;0;0;0;0;0;0;558706,248400000040000;5326169,040099999900000;9,788309491000064;48,086086925000075
155570;08;2;22;000;2018;07;16;6;3;5;3;0;1;1;0;0;0;0;0;462206,681700000020000;5478754,415199999700000;8,478468503000045;49,460268509000059
155571;08;4;21;000;2018;07;18;3;3;8;1;0;1;0;0;0;0;0;0;568495,267200000000000;5356119,326700000100000;9,924579671000060;48,354533109000045
155572;08;2;26;009;2018;07;07;6;3;5;2;0;1;1;0;0;0;0;0;466751,826000000000000;5472769,889999999700000;8,541689090000034;49,406705602000045
155573;08;2;21;000;2018;07;15;6;3;5;2;0;1;1;0;0;0;0;0;477259,632700000020000;5470278,214700000400000;8,686674207000067;49,384776711000029
155575;08;2;12;000;2018;07;18;6;3;6;7;0;1;0;1;0;0;0;0;459246,516599999970000;5431185,389399999800000;8,442460181000058;49,032203191000065
155578;08;4;15;061;2018;07;21;3;3;6;6;1;0;1;1;0;0;0;0;513571,154299999990000;5377090,231200000300000;9,183881365000048;48,546766093000031
155580;08;3;35;043;2018;07;20;3;3;1;1;1;1;1;0;0;0;0;0;512085,147699999970000;5279017,463700000200000;9,160968007000065;47,664437259000067
155585;08;2;16;015;2018;07;20;6;1;6;1;0;0;1;1;0;0;0;0;450887,819900000000000;5405206,658499999900000;8,331240783000055;48,797911917000079
155586;08;3;17;096;2018;07;13;3;3;6;4;0;1;0;1;0;0;0;0;423117,833500000010000;5369012,923999999600000;7,959865538000031;48,469546262000051
155587;08;1;36;065;2018;07;08;6;3;6;4;0;0;1;1;0;0;0;0;558713,183500000040000;5405655,235000000300000;9,799547738000058;48,801114286000029
155588;08;3;17;096;2018;07;03;3;3;0;7;2;1;0;0;0;0;0;0;422408,589600000010000;5369304,226300000200000;7,950217834000057;48,472079399000052
155589;08;3;17;096;2018;07;17;3;3;1;5;0;1;1;0;0;0;0;0;422122,326899999990000;5368968,332399999700000;7,946408045000055;48,469022671000062
155593;08;3;11;000;2018;07;17;3;2;6;7;0;1;0;1;0;0;0;1;417532,219800000020000;5314747,653900000300000;7,894871924000029;47,980714789000046
155595;08;1;27;073;2018;07;15;6;3;5;3;0;1;0;0;1;0;0;0;579111,318399999990000;5446543,898400000300000;10,085238618000062;49,166607311000064
155596;08;3;15;064;2018;07;11;3;2;4;6;0;1;0;0;0;0;0;0;423687,626300000000000;5312526,646099999500000;7,977739119000034;47,961498992000031
155598;08;2;12;000;2018;07;11;3;2;5;3;0;1;1;0;0;0;0;0;458206,355600000010000;5429100,169800000300000;8,428445532000069;49,013376738000034
155599;08;2;15;090;2018;07;14;3;3;0;5;0;1;1;0;0;0;0;0;465730,467599999970000;5433545,016200000400000;8,530962770000031;49,053823084000044
155600;08;1;25;058;2018;07;16;6;3;6;5;0;0;1;1;0;0;0;0;508978,247199999980000;5443412,467799999800000;9,123104022000064;49,143472817000031
155601;08;2;12;000;2018;07;09;3;3;2;2;0;1;0;0;1;0;0;0;455214,613399999970000;5428808,281800000000000;8,387566142000026;49,010541277000073
155602;08;1;21;000;2018;07;07;6;3;5;3;0;1;1;0;0;0;0;0;515421,097799999990000;5441900,354399999600000;9,211385949000032;49,129742866000072
155608;08;2;26;062;2018;07;18;3;3;5;2;0;1;1;0;0;0;0;0;469770,401799999990000;5468252,156899999800000;8,583641095000075;49,366227052000056
155610;08;2;22;000;2018;07;15;3;3;5;3;0;1;1;0;0;0;0;0;462493,267999999980000;5486038,236999999700000;8,481731825000054;49,525800440000069
155612;08;1;16;049;2018;07;20;6;3;0;7;0;0;0;1;0;0;1;0;524939,730199999990000;5386205,984600000100000;9,338464090000059;48,628423334000047
155615;08;2;22;000;2018;07;10;3;3;6;4;0;0;1;1;0;0;0;0;460837,514299999980000;5482211,141599999700000;8,459233238000024;49,491273201000070
155616;08;1;16;056;2018;07;18;6;3;6;3;0;0;1;1;0;0;0;0;531560,507600000010000;5395305,153800000400000;9,429008475000046;48,709979314000066
155617;08;1;16;049;2018;07;13;6;3;3;2;0;1;1;0;0;0;0;0;525464,199999999950000;5384666,559999999600000;9,345487157000036;48,614553463000050
155618;08;2;21;000;2018;07;17;3;3;5;2;0;1;1;0;0;0;0;0;476436,183000000020000;5474157,317599999700000;8,675098452000043;49,419637325000053
155620;08;2;21;000;2018;07;17;3;3;5;3;0;1;1;0;0;0;0;0;476600,197099999990000;5469638,445000000300000;8,677626039000074;49,378997081000080
155622;08;1;15;028;2018;07;07;6;3;6;6;0;1;0;1;0;0;0;0;500783,704499999990000;5404847,689500000300000;9,010671378000041;48,796622178000064
155623;08;1;15;013;2018;07;12;6;2;3;6;0;1;0;0;0;0;0;0;496532,838700000020000;5389788,464800000200000;8,952915769000072;48,661139636000030
155624;08;2;12;000;2018;07;18;3;3;5;2;0;1;1;0;0;0;0;0;454143,520599999990000;5425695,966400000300000;8,373271333000048;48,982467074000056
155625;08;3;17;122;2018;07;19;3;3;6;2;0;1;0;1;0;0;0;0;417034,002199999990000;5368760,052400000400000;7,877623733000064;48,466498560000048
155630;08;3;35;077;2018;07;08;5;3;5;3;0;1;1;0;0;0;0;0;494964,708900000030000;5294203,990600000100000;8,932756700000027;47,801172892000068
