OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
87180;08220712136200919590;08;1;36;019;2022;07;08;3;3;8;1;0;0;1;0;0;0;0;0;582252,138943800004199;5424545,934505339711905;10,123844021000000;48,968349745000097
87184;08220622317500815900;08;3;17;096;2022;06;13;4;3;0;1;0;1;1;0;0;0;0;0;421243,525176829018164;5368753,657896449789405;7,934561461000040;48,466982256000101
87186;08220708121500880850;08;1;25;005;2022;07;17;6;3;0;7;0;0;1;0;0;0;0;0;515868,755885326012503;5452519,894079620018601;9,217941226000050;49,225257132000102
87190;08220715417300898240;08;4;17;079;2022;07;16;6;2;0;1;0;0;1;0;0;0;0;0;502831,903456636006013;5348622,445665580220520;9,038178510000019;48,290795347000000
87192;08220713119100896180;08;1;19;083;2022;07;15;4;3;5;3;0;0;1;1;0;0;0;0;535190,593525995034724;5419363,397805780172348;9,480414989000050;48,926203043000001
87193;08220629416100848440;08;4;16;036;2022;06;19;4;3;0;1;0;0;1;0;0;0;0;0;497313,896284642978571;5371809,431829379871488;8,963638761000031;48,499399190000098
87195;08220710336100885710;08;3;36;084;2022;07;16;1;3;8;1;0;0;1;0;0;0;0;0;405577,825653736013919;5277995,834356769919395;7,742719137000050;47,648468460000103
87197;08220620231000804070;08;2;31;000;2022;06;06;2;3;5;3;0;0;1;1;0;0;0;0;477349,971000000019558;5416316,720999529585242;8,690952069000049;48,899382318000100
87199;08220615426010820750;08;4;25;140;2022;06;04;4;3;3;6;2;0;1;0;0;0;0;1;579859,162795708049089;5337659,038741660304368;10,074461318000001;48,187144611000100
87203;08220618336200844150;08;3;36;105;2022;06;14;7;2;0;7;0;0;1;0;0;0;0;0;398390,182931120973080;5267710,588320019654930;7,649422142000050;47,554860908000101
87211;08220719416200947190;08;4;16;015;2022;07;12;3;2;4;6;0;0;1;0;0;0;0;0;506395,080250850005541;5366582,590879620052874;9,086488894000070;48,452349479000098
87226;08220721426100942850;08;4;26;128;2022;07;00;5;3;0;7;2;1;1;0;0;0;0;0;559122,428813343052752;5331361,509112140163779;9,794617243000060;48,132760681000001
87229;08220616111320827630;08;1;11;000;2022;06;19;5;3;0;3;0;0;1;0;0;0;0;1;516298,380216836987529;5404785,154122419655323;9,221924901000021;48,795846472000100
87238;08220625311500852290;08;3;15;102;2022;06;14;7;3;8;1;0;0;1;0;0;0;0;0;439774,078931785013992;5294368,784042580053210;8,195736628000081;47,799857793999998
87245;08220718425000938910;08;4;25;020;2022;07;21;2;3;5;3;2;0;1;1;0;0;0;0;558959,600112874992192;5361126,108662759885192;9,796579328000060;48,400535202000100
87246;08220715317500915560;08;3;17;096;2022;07;06;6;3;9;1;0;0;1;0;0;0;0;0;421297,700831029971596;5366595,720826559700072;7,935700080000060;48,447578581000101
87250;08220710121500882690;08;1;25;007;2022;07;13;1;3;0;7;0;0;1;0;0;0;0;0;512498,082194850023370;5453020,429255169816315;9,171664296000070;49,229837619000101
87252;08220706221011914140;08;2;26;098;2022;07;13;4;2;6;2;0;0;0;1;1;0;0;0;478300,638270740979351;5460338,555029509589076;8,701558528000019;49,295407834999999
87257;08220705311400903130;08;3;11;000;2022;07;09;3;2;0;7;0;0;1;0;0;0;0;0;412876,041048410988878;5315335,300120839849114;7,832369588000060;47,985383667000100
87258;08220623311010833410;08;3;36;050;2022;06;18;5;2;6;7;0;0;1;0;1;0;0;0;399034,896961710997857;5275998,352214179933071;7,656081470000060;47,629512859999998
87259;08220702121500877130;08;1;25;007;2022;07;16;7;3;0;7;0;0;1;0;0;0;0;0;512363,977633690985385;5452992,057111679576337;9,169821470000040;49,229585127000099
87263;08220630436000839280;08;4;37;088;2022;06;13;5;2;3;2;0;0;1;1;0;0;0;0;517949,691000000981148;5309257,145999499596655;9,240331720000031;47,936380294000102
87267;08220707436500905030;08;4;36;055;2022;07;13;5;2;5;3;0;0;1;0;0;0;1;0;576583,571886647026986;5297267,048811499960721;10,023185132000000;47,824192553000003
87272;08220709221200881050;08;2;21;000;2022;07;12;7;3;8;1;0;0;1;0;0;0;0;0;481949,549847649992444;5473668,858013460412621;8,751138953000069;49,415432287999998
87273;08220720436200914230;08;4;36;009;2022;07;19;4;3;5;3;0;0;1;1;0;0;0;0;556156,576807637000456;5307920,297107880003750;9,751686374000030;47,922143640000101
87280;08220708335400900590;08;3;35;079;2022;07;16;6;3;5;2;0;0;1;1;0;0;0;0;500763,632076266978402;5296165,705595069564879;9,010201309000021;47,818842638000000
87282;08220617237100826360;08;2;37;028;2022;06;14;6;3;5;3;0;0;1;1;0;0;0;0;456717,250000000000000;5368100,788999520242214;8,414490227000041;48,464551057000101
87287;08220624335100846340;08;3;35;043;2022;06;18;6;3;5;3;0;1;1;1;0;0;0;0;512059,568000000028405;5280892,821999490261078;9,160679088000050;47,681311586000000
87294;08220616121500854260;08;1;25;113;2022;06;13;5;1;8;1;0;0;1;0;0;0;0;0;530674,986204602057114;5451067,615208669565618;9,421174350000060;49,211631218000001
87301;08220723317100955580;08;3;17;089;2022;07;23;7;2;5;3;2;0;1;1;0;0;0;0;432330,184561601025052;5374514,045256639830768;8,083589773000030;48,520089067000100
87303;08220701215302869830;08;2;15;007;2022;07;15;6;3;5;2;0;0;1;1;0;0;0;0;477577,446308397979010;5431774,082286920398474;8,693203898000039;49,038437850999998
87305;08220720231000942530;08;2;31;000;2022;07;07;4;3;6;2;0;0;0;1;1;0;0;0;476442,036873242992442;5415711,812392059713602;8,678598864000040;48,893906915999999
87306;08220616335200798210;08;3;35;063;2022;06;13;5;3;0;1;0;0;1;0;0;0;0;0;495988,962330446986016;5287127,533966559916735;8,946500322000080;47,737509342000102
87309;08220627426010861870;08;4;26;120;2022;06;15;2;2;4;6;0;0;1;0;0;0;0;0;561443,764213682035916;5324838,107741910032928;9,824873643000050;48,073855648000098
87317;08220615425000807720;08;4;25;020;2022;06;13;4;3;5;3;0;0;1;1;0;0;0;0;560518,515130336978473;5365321,239904209971428;9,818244444000070;48,438125232000097
