UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
08251017222600551020;08;2;22;000;2025;10;09;6;3;5;2;0;0;1;1;0;0;0;0;462828,436999999918044;5486096,883799999952316;8,486357469000041;49,526348586000040;1
08251111119200657730;08;1;19;020;2025;11;20;3;3;5;3;2;0;1;0;0;0;0;1;520700,057000000029802;5406794,073000000789762;9,281960409000021;48,813787358000070;1
08251025111210630120;08;1;11;000;2025;10;09;7;3;0;7;0;0;0;0;1;0;0;1;507404,571800000034273;5397563,749700000509620;9,100693809000063;48,731052451000039;1
08251025317000623950;08;3;17;057;2025;10;07;7;3;8;1;1;1;1;0;0;0;0;0;412722,073699999600649;5379625,595699999481440;7,817030603000035;48,563644695000050;1
08251021212010594630;08;2;12;000;2025;10;16;3;3;6;7;0;0;0;1;1;0;0;0;453555,573400000110269;5428925,790699999779463;8,364866992000032;49,011475635000068;1
08251106335100637600;08;3;35;043;2025;11;18;5;3;5;3;2;0;1;1;0;0;0;0;512887,642900000326335;5278646,474500000476837;9,171645843000022;47,661083724000036;1
08251017222500591120;08;2;22;000;2025;10;14;6;3;5;3;0;0;1;1;0;0;0;0;462209,278800000436604;5478755,266200000420213;8,478504259000033;49,460276325000052;1
08251030216300617530;08;2;16;015;2025;10;19;5;3;5;3;2;0;1;0;0;0;0;1;450042,697499999776483;5405817,558000000193715;8,319659295000065;48,803339799000071;1
08251114111500674740;08;1;11;000;2025;11;17;6;3;6;4;2;0;0;0;1;1;0;0;513237,536700000055134;5403399,394200000911951;9,180202894000047;48,783453018000046;1
08251017222500552600;08;2;26;084;2025;10;13;6;3;0;7;0;0;1;0;0;0;0;0;466705,446299999952316;5472928,635500000789762;8,541036478000024;49,408130933000052;1
08251019221200623250;08;2;21;000;2025;10;14;1;3;0;7;0;0;1;0;0;0;0;0;477165,515800000168383;5472153,904799999669194;8,685269671000071;49,401644769000029;1
08251114326000666200;08;3;35;022;2025;11;15;6;3;4;6;0;0;1;0;0;0;0;1;482654,087600000202656;5297979,741599999368191;8,768205454000054;47,834930809000070;1
08251114311010675400;08;3;11;000;2025;11;12;6;3;5;3;0;0;1;1;0;0;0;0;410421,265200000256300;5315668,492200000211596;7,799408681000045;47,988041714000076;1
08251105337400634410;08;3;37;106;2025;11;15;4;3;5;3;0;0;1;1;0;0;0;0;458171,447499999776483;5287124,544800000265241;8,442099813000027;47,736138870000048;1
08251024425000607930;08;4;25;033;2025;10;15;6;3;5;3;0;0;1;1;0;0;0;0;554599,084999999962747;5348238,515300000086427;9,736000395000076;48,284992430000045;1
08251023119200574090;08;1;19;020;2025;10;15;5;3;1;7;0;0;1;1;0;0;0;0;520251,428899999707937;5406064,518899999558926;9,275813614000072;48,807239213000059;1
08251112216300647670;08;2;16;059;2025;11;07;4;3;0;1;0;0;1;0;0;0;0;0;452859,720999999903142;5397397,596000000834465;8,358984906000046;48,727818744000047;1
08251019111320555890;08;1;11;000;2025;10;11;1;3;5;3;0;0;1;1;0;0;0;0;516261,784900000318885;5406400,794199999421835;9,221490599000049;48,810381499000073;1
08251104436100652010;08;4;36;055;2025;11;08;3;2;6;4;0;0;0;1;1;0;0;0;568900,450000000186265;5301524,096999999135733;9,921228112000051;47,863359053000067;1
08251017221200599380;08;2;21;000;2025;10;19;6;3;5;3;1;0;1;0;0;0;0;0;476539,760499999858439;5472971,556500000879169;8,676596654000036;49,408975616000077;1
08251113417100682710;08;4;17;079;2025;11;10;5;3;6;7;0;0;0;0;1;0;0;1;502004,267699999734759;5339954,617900000885129;9,026979628000049;48,212815882000029;1
08251106337400662050;08;3;37;126;2025;11;12;5;3;0;7;0;0;1;0;0;0;0;0;438947,260300000198185;5274113,128200000151992;8,187533630000075;47,617545096000072;1
08251019111250589780;08;1;11;000;2025;10;16;1;3;6;6;0;0;0;0;1;0;0;1;515114,372999999672174;5404025,300000000745058;9,205775169000049;48,789040824000040;1
08251107421200663600;08;4;21;000;2025;11;12;6;3;6;4;0;0;0;1;1;0;0;0;573660,571399999782443;5360955,040899999439716;9,995140136000032;48,397450046000074;1
08251103416010693620;08;4;16;025;2025;11;16;2;1;6;2;0;0;0;1;1;0;0;0;504298,661999999545515;5360934,393999999389052;9,058078426000066;48,401553228000068;1
08251111317000659970;08;3;17;034;2025;11;05;3;2;3;2;2;1;1;1;0;0;0;0;425588,885599999688566;5362961,752900000661612;7,994365949000041;48,415412605000029;1
08251024335100616960;08;3;35;043;2025;10;18;6;3;7;7;2;0;1;0;0;0;0;0;511188,210300000384450;5281168,059000000357628;9,149076403000038;47,683803744000045;1
08251103116000647720;08;4;17;036;2025;11;16;2;3;5;3;0;0;1;1;0;0;0;0;502610,089700000360608;5353197,872300000861287;9,035216426000034;48,331960023000079;1
08251109435100644080;08;4;35;016;2025;11;16;1;3;6;7;0;1;1;0;1;0;0;0;538391,329300000332296;5279443,137399999424815;9,511380876000032;47,667240663000030;1
08251114119500658040;08;1;19;085;2025;11;15;6;3;0;7;0;0;1;0;0;0;0;0;529357,044200000353158;5413616,580900000408292;9,400365656000076;48,874811465000050;1
08251023128300602340;08;1;28;131;2025;10;06;5;3;1;5;2;1;1;1;0;0;0;0;535880,242100000381470;5514862,600899999961257;9,498435032000032;49,785152517000029;1
08251114311010686440;08;3;15;064;2025;11;16;6;3;5;3;1;0;1;1;0;0;0;0;422488,588000000454485;5312874,281799999997020;7,961617142000023;47,964482174000068;1
08251107311010662510;08;3;11;000;2025;11;08;6;3;5;2;0;0;1;1;0;0;0;0;414929,558299999684095;5317193,728900000452995;7,859516632000066;48,002377432000060;1
08251020336300563370;08;3;36;081;2025;10;07;2;3;5;3;0;1;1;1;0;0;0;0;412181,416600000113249;5278685,676699999719858;7,830491253000048;47,655604003000064;1
08251017136100581650;08;1;36;088;2025;10;20;6;3;5;3;2;0;1;1;0;0;0;0;580331,958899999968708;5409702,222200000658631;10,094692982000026;48,835096168000064;1
08251023311010569180;08;3;11;000;2025;10;17;5;3;5;3;0;0;1;1;0;0;0;0;412478,175300000235438;5318007,848600000143051;7,826493466000045;48,009369730000060;1
08251110335300668850;08;3;35;075;2025;11;12;2;3;6;4;0;1;0;1;1;0;0;0;488231,029900000430644;5288792,227700000628829;8,842979364000030;47,752392631000077;1
08251110111140673400;08;1;11;000;2025;11;17;2;3;6;4;2;0;0;1;1;0;0;0;509344,110199999995530;5402913,745799999684095;9,127190714000051;48,779154834000053;1
08251017121500600040;08;1;25;065;2025;10;07;6;3;6;4;0;0;0;0;1;0;0;1;516808,248200000263751;5449660,004300000146031;9,230724337000026;49,199506757000051;1
08251113311010654840;08;3;36;050;2025;11;13;5;3;5;3;0;0;1;1;0;0;0;0;399238,397599999792874;5274640,805800000205636;7,659101818000067;47,617333001000077;1
08251103226700641090;08;2;26;098;2025;11;14;2;3;6;4;0;0;0;1;1;0;0;0;477999,938400000333786;5460017,462999999523163;8,697440600000050;49,292508848000068;1
08251023416200571380;08;4;16;041;2025;10;16;5;3;0;1;0;0;1;0;0;0;0;0;503712,336000000126660;5374413,872999999672174;9,050276306000058;48,522824507000053;1
08251017119400553790;08;1;19;079;2025;10;14;6;3;6;2;0;0;0;1;1;0;0;0;523183,906999999657273;5408592,960400000214577;9,315894694000065;48,829881998000076;1
08251024415400577710;08;4;15;061;2025;10;14;6;3;0;1;0;0;1;0;0;0;0;0;515501,881799999624491;5370202,627199999988079;9,209785466000028;48,484758279000062;1
08251112231102680290;08;2;36;046;2025;11;19;4;3;6;7;2;0;0;1;1;0;0;0;483556,468100000172853;5418536,714500000700355;8,775546272000042;48,919548533000068;1
08251023118200587560;08;1;18;067;2025;10;07;5;3;6;2;2;1;0;1;1;0;0;0;505668,792999999597669;5413678,088700000196695;9,077311699000063;48,876033906000032;1
08251108311400640100;08;3;15;076;2025;11;01;7;3;7;7;2;0;1;0;1;0;0;0;392253,907499999739230;5296928,509199999272823;7,560672304000036;47,816682562000040;1
08251021436000567540;08;4;36;009;2025;10;11;3;3;6;7;0;0;0;1;1;0;0;0;556433,662700000219047;5307601,893500000238419;9,755353285000069;47,919254777000049;1
08251023221400601440;08;2;21;000;2025;10;09;5;3;5;3;0;0;1;1;0;0;0;0;474579,568300000391901;5474260,286100000143051;8,649493051000036;49,420488748000025;1
08251017118400583900;08;1;18;048;2025;10;22;6;3;0;7;2;0;0;1;1;0;0;0;514791,314299999736249;5417558,534399999305606;9,201865704000056;48,910790809000048;1
08251018226200616050;08;2;26;059;2025;10;15;7;3;1;5;0;0;1;1;0;0;0;0;465206,546799999661744;5459963,230000000447035;8,521507398000040;49,291426441000056;1
08251102116500649560;08;1;16;071;2025;11;12;1;3;6;6;0;1;0;1;1;0;0;0;528612,421000000089407;5391407,520999999716878;9,388665569000068;48,675058872000079;1
08251017118300549830;08;1;18;046;2025;10;09;6;3;5;3;0;0;1;1;0;0;0;0;514541,899799999780953;5411944,199100000783801;9,198262066000041;48,860291605000043;1
08251102311010645000;08;3;11;000;2025;11;12;1;3;4;2;0;1;1;0;0;0;0;1;412288,610399999655783;5317015,550200000405312;7,824155218000044;48,000417736000031;1
08251102222500631360;08;2;22;000;2025;11;09;1;3;0;7;0;1;1;0;0;0;0;0;466199,220399999991059;5474778,973400000482798;8,533900840000058;49,424746198000037;1
08251112436400650060;08;4;36;082;2025;11;12;4;3;6;2;0;0;0;1;1;0;0;0;547984,439000000245869;5295023,298399999737740;9,640873658000032;47,806775345000062;1
08251017121500550560;08;1;25;065;2025;10;13;6;3;0;1;0;0;1;0;0;0;0;0;515752,832600000314415;5451036,699200000613928;9,216290923000031;49,211918475000061;1
08251022317100576380;08;3;17;001;2025;10;16;4;3;5;3;0;1;1;1;0;0;0;0;431836,370400000363588;5386463,902699999511242;8,074944268000024;48,627525967000054;1
08251030215302610960;08;2;15;007;2025;10;16;5;3;6;2;0;0;0;1;1;0;0;0;479240,595300000160933;5431288,013299999758601;8,715984488000061;49,034123694000073;1
08251022436300587030;08;4;36;049;2025;10;19;4;3;6;7;2;1;0;1;1;0;0;0;577792,926300000399351;5282332,293999999761581;10,036667359000035;47,689692997000066;1
08251022415400613510;08;4;15;061;2025;10;08;4;3;1;3;0;1;1;1;0;0;0;0;515390,893199999816716;5371234,722599999979138;9,208321507000051;48,494046107000031;1
08251110231000670660;08;2;31;000;2025;11;06;2;3;6;2;2;0;0;1;1;0;0;0;477023,455000000074506;5415412,578999999910593;8,686547850000068;48,891236952000042;1
08251022436000572370;08;4;35;034;2025;10;07;4;3;6;4;1;1;0;1;1;0;0;0;529544,325500000268221;5284589,275399999693036;9,393888649000075;47,714007542000047;1
08251114111500670470;08;1;11;000;2025;11;19;6;2;3;2;2;0;1;1;0;0;0;0;513399,026999999769032;5402040,671000000089407;9,182356975000062;48,771226595000030;1
08251018212702618960;08;2;15;046;2025;10;18;7;2;6;6;0;0;0;0;1;0;0;1;450988,484000000171363;5414661,190999999642372;8,331480520000071;48,882965789000082;1
08251022118010591940;08;1;15;003;2025;10;06;4;2;6;4;2;1;0;1;1;0;0;0;500064,951700000092387;5392640,754300000146031;9,000882496000031;48,686808816000053;1
08251024136100601910;08;1;36;050;2025;10;07;6;3;6;4;2;1;0;1;1;0;0;0;581775,605299999937415;5404437,963500000536442;10,113312961000076;48,787559856000030;1
08251017317000581160;08;2;11;000;2025;10;07;6;3;6;6;0;0;1;0;1;0;0;0;443908,148900000378489;5401639,881200000643730;8,236693752000065;48,765237618000072;1
08251113311010652270;08;3;11;000;2025;11;11;5;2;2;5;0;0;1;0;0;0;0;1;410741,821100000292063;5314870,997300000861287;7,803869775000067;47,980912869000065;1
08251023136000582340;08;1;19;084;2025;10;08;5;3;6;4;1;1;0;1;1;0;0;0;546551,116000000387430;5413983,119999999180436;9,634884511000052;48,877056038000035;1
08251026136000597040;08;1;36;042;2025;10;11;1;3;6;4;0;0;0;1;1;0;0;0;550415,616399999707937;5405143,382099999114871;9,686498992000054;48,797238390000075;1
08251021216200583760;08;2;16;007;2025;10;07;3;3;8;1;0;0;1;0;0;0;0;0;436273,504800000227988;5394504,964400000870228;8,133915152000043;48,700324125000066;1
08251017435200586360;08;4;35;059;2025;10;15;6;3;0;1;0;0;1;0;0;0;0;1;510344,744500000029802;5290874,484300000593066;9,138068359000044;47,771152234000056;1
08251104311010694670;08;3;36;081;2025;11;07;3;3;5;3;2;0;1;1;0;0;0;0;411098,459099999628961;5277566,359300000593066;7,816299888000060;47,645386930000029;1
08251022435100583100;08;4;35;016;2025;10;07;4;3;6;4;2;1;0;1;1;0;0;0;535298,798100000247359;5278046,537599999457598;9,470076364000022;47,654851069000074;1
08251028121300615120;08;1;21;000;2025;10;19;3;3;5;3;2;1;1;1;0;0;0;0;514644,797500000335276;5445414,856200000271201;9,200872570000058;49,161375972000030;1
08251018221400581320;08;2;26;018;2025;10;11;7;3;0;7;0;0;1;0;0;0;0;0;472825,387799999676645;5472661,094100000336766;8,625415721000024;49,406028531000061;1
08251111317200680640;08;3;17;057;2025;11;09;3;3;5;2;0;0;1;1;0;0;0;0;412751,465499999932945;5379959,047499999403954;7,817358958000057;48,566647979000038;1
08251028337400592320;08;3;37;096;2025;10;16;3;2;4;2;0;0;1;1;0;0;0;0;420809,594700000248849;5267459,158999999985099;7,947402728000043;47,555720703000077;1
08251017311010552420;08;3;11;000;2025;10;14;6;3;3;6;0;0;1;1;0;0;0;0;413757,953700000420213;5315848,424399999901652;7,844083354000077;47,990118936000044;1
08251018216100567990;08;2;16;043;2025;10;09;7;3;6;2;0;0;0;1;1;0;0;0;436487,485100000165403;5410339,979699999094009;8,134377737000023;48,842781114000047;1
08251020416200559790;08;4;16;041;2025;10;07;2;3;0;7;1;1;1;1;0;0;0;0;504259,795099999755621;5373913,529699999839067;9,057685450000065;48,518319760000054;1
08251112119400650090;08;1;19;091;2025;11;14;4;3;2;5;0;0;1;1;0;0;0;0;528507,935899999924004;5405614,153599999845028;9,388229237000075;48,802863957000056;1
08251020226400621850;08;2;26;062;2025;10;18;2;3;1;7;0;0;1;1;0;0;0;0;470322,702999999746680;5468553,587999999523163;8,591225376000068;49,368965514000081;1
08251107311010662870;08;3;11;000;2025;11;16;6;3;1;2;1;0;1;1;0;0;0;0;414740,401800000108778;5317208,807199999690056;7,856978260000062;48,002487865000035;1
08251112212010650360;08;2;12;000;2025;11;15;4;3;5;3;0;0;1;0;0;0;0;0;455407,696499999612570;5426939,703400000929832;8,390411549000021;48,993747205000034;1
08251030212502627480;08;2;12;000;2025;10;22;5;3;0;7;2;0;1;1;0;0;0;0;454216,330199999734759;5428592,858899999409914;8,373939901000028;49,008530273000076;1
