OID_;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
208974;08240813111500148710;08;1;11;000;2024;08;06;3;2;1;5;1;0;1;1;0;0;0;0;513149,004999999888241;5403239,790799999609590;9,178992611000069;48,782019118000051;1
208975;08240813111500089090;08;1;11;000;2024;08;20;3;2;5;3;2;0;1;1;0;0;0;0;512564,437099999748170;5409230,138000000268221;9,171218513000042;48,835919621000073;1
208979;08240812435100087540;08;4;35;016;2024;08;13;2;3;6;1;0;0;0;0;1;0;0;1;531799,578700000420213;5279930,729699999094009;9,423615553000047;47,671985489000065;1
208981;08240819311010107970;08;3;15;095;2024;08;15;2;2;8;1;0;0;1;0;0;0;0;0;428178,831100000068545;5317583,754499999806285;8,037047216000076;48,007512112000029;1
208982;08240812426100086110;08;4;26;120;2024;08;10;2;3;0;1;0;0;1;0;0;0;0;0;563015,105399999767542;5319864,198000000789762;9,845233718000031;48,028956372000039;1
208984;08240812325202269050;08;3;25;049;2024;08;12;2;2;1;1;0;0;1;0;0;0;0;1;473204,341500000096858;5333310,471300000324845;8,639724044000047;48,152477709000038;1
208985;08240812317500101410;08;3;17;034;2024;08;18;2;3;5;3;0;0;1;1;0;0;0;0;428401,849899999797344;5360079,622400000691414;8,032867851000049;48,389813004000075;1
208986;08240813415400090530;08;4;15;061;2024;08;17;3;3;2;6;0;0;1;0;0;0;0;0;516454,218999999575317;5373298,096899999305606;9,222795252000026;48,512581952000062;1
208988;08240812317000099200;08;3;17;151;2024;08;11;2;3;5;3;0;0;1;1;0;0;0;0;411294,722099999897182;5368746,591199999675155;7,800001914000063;48,465594219000081;1
208989;08240812311010099280;08;3;11;000;2024;08;13;2;3;5;3;0;0;1;0;0;0;0;0;412975,100800000131130;5318156,817399999126792;7,833124654000073;48,010777612000027;1
208990;08240812226700146530;08;2;26;103;2024;08;12;2;3;6;4;0;0;0;1;1;0;0;0;473436,059999999590218;5456684,293999999761581;8,634897726000077;49,262345617000051;1
