Unfall_ID;Original_Unfall_ID;Datum + Uhrzeit;Koordinaten Breitengrad;Koordinaten Längengrad;Gemeinde;Anzahl der Getöteten;Anzahl der Schwerverletzten;Anzahl der Leichtverletzten;Anzahl Beteiligte;Unfallart;Charakteristik;Besonderheiten;Lichtzeichenanlage;Lichtverhältnisse;Straßenzustand;Aufprall auf Hindernis;Unfallkategorie;Unfalltyp;Beteiligter 1: Ursachen;Beteiligter 2: Ursachen;Beteiligter 1: Verkehrsbeteiligung;Beteiligter 2: Verkehrsbeteiligung;beteiligt_fuss;beteiligt_fahrrad;beteiligt_pkw;beteiligt_sonst_kfz;beteiligt_sonst;Anzahl Fahrrad;Anzahl zu Fuß;Anzahl Pkw;Anzahl Pkw/Lkw/Bus;Anzahl sonstige Kfz;Anzahl sonstige;Anzahl sonstige Verkehrsmittel
12330;BWPV220002047294;2022-12-30T08:15:00Z;;;Karlsruhe, Stadt;0;0;0;2;Abkommen von Fahrbahn nach links;Kurve;;;;;sonstiges Hindernis;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Fahrunfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12331;BWPV220002047417;2022-12-24T11:15:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;Kreuzung;Radverkehrsanlage auf der Fahrbahn;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Einbiege-/Kreuzen-Unfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12332;BWPV220002048076;2022-11-30T10:25:00Z;;;Karlsruhe, Stadt;0;0;2;3;Zusammenstoß zwischen Fahrzeug und Fußgänger;;;;;;kein Aufprall;Unfall mit Leichtverletzten;Unfall im Längsverkehr;;;;;TRUE;TRUE;;;;1;2;;0;;;0
12333;BWPV220002048533;2022-12-17T07:15:00Z;;;Karlsruhe, Stadt;0;0;0;2;Unfall anderer Art;;;Lichtzeichenanlage in Betrieb;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Sonstiger Unfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12334;BWPV220002048586;2022-12-30T18:30:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit anfahrendem/anhaltendem/ruhendem Fahrzeug;;;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Unfall durch ruhenden Verkehr;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12335;BWPV220002048739;2022-11-22T09:05:00Z;;;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß zwischen Fahrzeug und Fußgänger;;;;;;kein Aufprall;Unfall mit Leichtverletzten;Sonstiger Unfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12336;BWPV220002048922;2022-12-22T15:55:00Z;;;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß zwischen Fahrzeug und Fußgänger;"Gefälle; Grundstücksein-/ausfahrt";;;;;kein Aufprall;Unfall mit Leichtverletzten;Sonstiger Unfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12337;BWPV220002049386;2022-12-23T13:45:00Z;;;Karlsruhe, Stadt;0;0;0;2;Abkommen von Fahrbahn nach links;;;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Fahrunfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12338;BWPV220002050870;2022-12-28T09:50:00Z;;;Karlsruhe, Stadt;0;0;0;2;Unfall anderer Art;Steigung;;;;;sonstiges Hindernis;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Sonstiger Unfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12339;BWPV220002051054;2022-12-30T15:45:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit vorausfahrendem/wartendem Fahrzeug;Kreuzung;Schienengleicher Wegübergang;Lichtzeichenanlage in Betrieb;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Abbiegeunfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
